time;T_thermocouple;T_raman
0;20.2;22.0
10;20.2;22.0
20;20.1;22.1
30;20.2;22.2
40;20.4;22.5
50;20.7;22.8
60;21.2;23.4
70;21.8;24.2
80;22.6;25.0
90;23.6;26.1
100;24.5;27.1
110;25.5;28.2
120;26.5;29.3
130;27.6;30.3
140;28.6;31.4
150;29.6;32.5
160;30.5;33.6
170;31.6;34.6
180;32.6;35.7
190;33.6;36.8
200;34.7;37.9
210;35.8;39.0
220;36.8;40.1
230;37.7;41.1
240;38.8;42.2
250;39.8;43.2
260;40.8;44.3
270;41.8;45.2
280;42.8;46.3
290;43.8;47.3
300;44.7;48.3
310;45.7;49.3
320;46.8;50.3
330;47.7;51.3
340;48.7;52.2
350;49.6;53.2
360;50.6;54.2
370;51.4;55.1
380;52.4;56.2
390;53.3;56.8
400;54.2;57.8
410;55.1;58.6
420;55.9;59.6
430;56.8;60.4
440;57.7;61.4
450;58.5;62.2
460;59.3;63.0
470;60.2;64.0
480;60.9;64.7
490;61.7;65.5
500;62.5;66.3
510;63.2;66.9
520;63.9;67.7
530;64.6;68.4
540;65.3;69.1
550;66;69.9
560;66.7;70.6
570;67.4;71.4
580;68;71.9
590;68.7;72.6
600;69.2;73.2
610;69.9;73.8
620;70.4;74.4
630;71;75.1
640;71.5;75.5
650;71.9;75.9
660;72.4;76.3
670;72.7;76.7
680;73;77.0
690;73.3;77.3
700;73.5;77.1
710;66.2;70.1
720;66.6;70.4
730;66.9;70.8
740;67.1;71.0
750;67.3;71.3
760;67.5;71.4
770;67.7;71.5
780;67.8;71.6
790;67.9;71.7
800;68;71.8
810;67;70.7
820;63.5;66.8
830;62.4;66.2
840;62.5;66.4
850;62.7;66.4
860;62.8;66.5
870;62.9;66.6
880;62.9;66.7
890;62.9;66.7
900;63;57.7
910;45.8;49.7
920;46.1;49.9
930;46.2;50.0
940;46.4;50.2
950;46.5;50.2
960;46.6;50.4
970;46.8;50.5
980;46.8;50.6
990;46.9;50.6
1000;47;50.7
1010;47;50.8
1020;47.1;50.8
1030;47.2;50.9
1040;47.2;50.9
1050;47.3;51.0
1060;47.3;51.0
1070;47.3;51.0
1080;47.4;51.1
1090;47.4;51.1
1100;47.5;51.2
1110;47.5;51.2
1120;47.5;51.2
1130;47.4;51.2
1140;47.5;51.2
1150;47.5;51.1
1160;47.5;51.2
1170;47.6;51.2
1180;47.5;51.2
1190;47.5;51.2
1200;47.5;51.2
1210;47.5;51.2
1220;47.5;51.2
1230;47.5;51.2
1240;47.5;51.2
1250;47.5;51.2